"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2018,18,126436775,22928131
2018,12,126436790,22928135
2018,18,126436793,22928136
2018,12,126436799,22928140
2018,12,126472861,22931254
2018,12,126436835,22928154
2018,17,126436835,22928153
2018,10,126472862,22931255
2018,20,126474685,22931627
2018,18,126474729,22931643
2018,12,126436855,22928163
2018,12,126474801,22931656
2018,3,126436872,22928170
2018,9,126474802,22931657
2018,12,126436874,22928171
2018,12,126436879,22928173
2018,20,126427893,22923619
2018,12,126427891,22923618
2018,3,126427899,22923620
2018,12,126436890,22928175
2018,12,126436918,22928180
2018,18,126474813,22931666
2018,12,126432195,22919158
2018,12,126436927,22928183
2018,12,126436941,22928190
2018,12,126436956,22928193
2018,12,126436976,22928200
2018,12,126477597,22931670
2018,12,126474860,22931673
2018,12,126474973,22931696
2018,9,126427982,22919172
2018,9,126437007,22928214
2018,12,126427986,22923636
2018,12,126427992,22923638
2018,12,126428022,22928223
2018,12,126437052,22928228
2018,12,126437054,22928229
2018,12,126437064,22928231
2018,12,126437065,22928232
2018,18,126428043,22923654
2018,18,126437072,22928234
2018,12,126437123,22928244
2018,9,126437124,22928245
2018,12,126437141,22928251
2018,12,126428119,22928252
2018,12,126432384,22919209
2018,12,126474985,22931699
2018,12,126432407,22919212
2018,12,126477677,22926482
2018,12,126437372,22928306
2018,18,126437383,22928309
2018,12,126437384,22928310
2018,11,126437420,22928314
2018,12,126428362,22923736
2018,12,126428393,22928321
2018,12,126437480,22928324
2018,12,126437521,22928333
2018,18,126428503,22923764
2018,12,126432771,22928343
2018,12,126437644,22923783
2018,12,126428578,22919297
2018,12,126437691,22928361
2018,12,126477780,22931720
2018,12,126437769,22928374
2018,12,126437779,22928380
2018,9,126428770,22923825
2018,12,126428830,22923829
2018,17,126437915,22928409
2018,12,126437915,22928410
2018,12,126433010,22928425
2018,9,126437965,22919330
2018,12,126433045,22923854
2018,9,126438029,22928438
2018,20,126428979,22928443
2018,10,126429001,22923865
2018,12,126429001,22923866
2018,12,126429019,22919347
2018,3,126438341,22923923
2018,9,126438373,22923928
2018,18,126477913,22931728
2018,12,126433248,22923930
2018,9,126438395,22928518
2018,12,126438546,22923956
2018,9,126433397,22919404
2018,9,126433407,22919406
