"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2019,12,132156214,24307162
2019,12,132161231,24302626
2019,12,132161249,24307171
2019,12,132156369,24297661
2019,20,132156376,24297662
2019,2,132161369,24297667
2019,18,132161487,24307223
2019,12,132161508,24297684
2019,12,132161526,24307230
2019,12,132156504,24297692
2019,20,132161555,24307235
2019,12,132155870,24297709
2019,12,132161618,24307252
2019,12,132156667,24297727
2019,12,132156764,24297762
2019,11,132156823,24297775
2019,9,132166206,24302805
2019,10,132166206,24302806
2019,12,132166206,24302807
2019,12,132156880,24297793
2019,20,148289954,29537040
2019,12,148290714,29537189
2019,12,133691652,24670603
2019,12,133687260,24670605
2019,11,133683530,24664869
2019,12,133692349,24673198
2019,12,133692414,24673223
2019,12,133683567,24664879
2019,12,133692436,24673229
2019,18,133688113,24670817
2019,12,133688115,24670819
2019,2,133683588,24664886
2019,12,133683600,24664891
2019,12,133692458,24673237
2019,12,133692514,24673271
2019,12,133692570,24664916
2019,12,133688258,24664917
2019,12,133692597,24673301
2019,12,133688438,24664952
2019,12,138796545,26123774
2019,12,138796566,26128274
2019,12,138791083,26118698
2019,12,138793984,26118737
2019,4,138801335,26118747
2019,12,138801334,26118746
2019,3,138794078,26128318
2019,12,138794216,26128331
2019,3,138794229,26128334
2019,12,138801660,26118781
2019,12,138801699,26118784
2019,12,138801736,26118790
2019,12,138801770,26118795
2019,12,138801774,26118797
2019,12,138794347,26128348
2019,12,138801951,26118808
2019,2,138801999,26118814
2019,2,138802005,26118816
2019,12,138802021,26118820
2019,12,138802025,26118821
2019,12,138802119,26118832
2019,12,138794399,26128353
2019,12,138802191,26118840
2019,12,138802209,26118845
2019,12,138802237,26118849
2019,12,138802253,26118851
2019,2,138802263,26118853
2019,12,138794445,26128364
2019,12,138802307,26118859
2019,12,138794460,26128367
2019,3,138802361,26118862
2019,12,138802380,26118867
2019,12,148881030,29687970
2019,20,148881029,29687969
2019,12,148892191,29683180
2019,2,148892228,29683187
2019,12,148892236,29683189
2019,12,148896385,29688029
2019,12,137954125,25854811
2019,3,137954418,25854863
2019,3,137954541,25861431
